"","Taxon.Name","Hilsenhoff.Tolerance"
"536","Fossaria",8
"538","Lymnaea",8
"539","Stagnicola",10
"541","Physa",8
"547","Vorticifex effusa",6
"549","Amnicola",5
"550","Fluminicola",5
"551","Fluminicola hindsi",5
"552","Fontelicella",8
"554","Potamopyrgus antipodarum",8
"555","Pyrgulopsis idahoensis",8
"558","Campeloma decisum",6
"560","Turbellaria",4
"561","Tricladida",4
"562","Planariidae",1
"563","Dugesia",4
"565","Polycelis coronata",1
