"","Taxon.Name","2012.Clinger","2012.Intolerant","2012.Long.Lived","2012.Predator","2012.Tolerant"
"349","Pericoma",FALSE,FALSE,FALSE,FALSE,FALSE
"350","Psychoda",FALSE,FALSE,FALSE,FALSE,FALSE
"351","Pericoma/Telmatoscopus",FALSE,FALSE,FALSE,FALSE,FALSE
"363","Rhabdomastix Fascigera Group",FALSE,FALSE,FALSE,FALSE,FALSE
"364","Rhabdomastix Setigera Group",FALSE,FALSE,FALSE,FALSE,FALSE
"366","Limnophila",FALSE,FALSE,FALSE,TRUE,FALSE
"371","Antocha monticola",TRUE,FALSE,FALSE,FALSE,FALSE
"373","Limonia",FALSE,FALSE,FALSE,FALSE,FALSE
"380","Gerrinae",FALSE,FALSE,FALSE,TRUE,FALSE
"382","Aquarius remigis",FALSE,FALSE,FALSE,TRUE,FALSE
"386","Ferrisia",FALSE,FALSE,FALSE,FALSE,FALSE
"389","Crambidae",TRUE,FALSE,FALSE,FALSE,FALSE
"391","Pyralidae",TRUE,FALSE,FALSE,FALSE,FALSE
"394","Capnia",FALSE,TRUE,FALSE,FALSE,FALSE
"396","Despaxia",FALSE,FALSE,FALSE,FALSE,FALSE
"398","Moselia infuscata",FALSE,TRUE,TRUE,FALSE,FALSE
"399","Paraleuctra",FALSE,FALSE,FALSE,FALSE,FALSE
"400","Perlomyia",FALSE,FALSE,FALSE,FALSE,FALSE
"402","Amphinemura",FALSE,FALSE,FALSE,FALSE,FALSE
"410","Zapada oregonensis",FALSE,FALSE,TRUE,FALSE,FALSE
"413","Taenionema",FALSE,FALSE,FALSE,FALSE,FALSE
"415","Plumiperla",FALSE,FALSE,FALSE,FALSE,FALSE
"416","Suwallia",FALSE,FALSE,FALSE,TRUE,FALSE
"419","Kathroperla perdita",FALSE,TRUE,TRUE,TRUE,FALSE
"423","Yoraperla brevis",FALSE,TRUE,TRUE,FALSE,FALSE
"424","Yoraperla siletz",FALSE,TRUE,TRUE,FALSE,FALSE
"426","Calineuria",TRUE,TRUE,TRUE,TRUE,FALSE
"429","Doroneuria baumanni",TRUE,TRUE,TRUE,TRUE,FALSE
"430","Hesperoperla",TRUE,TRUE,TRUE,TRUE,FALSE
"432","Claassenia",TRUE,FALSE,TRUE,TRUE,FALSE
"438","Perlinodes aurea",TRUE,FALSE,FALSE,TRUE,FALSE
"439","Setvena tibialis",TRUE,FALSE,TRUE,TRUE,FALSE
"442","Kogotus",TRUE,FALSE,FALSE,TRUE,FALSE
"443","Kogotus nonus",TRUE,FALSE,FALSE,TRUE,FALSE
"444","Rickera",TRUE,FALSE,FALSE,TRUE,FALSE
"445","Rickera sorpta",TRUE,FALSE,FALSE,TRUE,FALSE
"462","Arctopsyche grandis",TRUE,TRUE,TRUE,TRUE,FALSE
"466","Ceratopsyche amblis",TRUE,FALSE,FALSE,FALSE,FALSE
"467","Ceratopsyche oslari",TRUE,FALSE,FALSE,FALSE,FALSE
"474","Psychomyia flavida",TRUE,FALSE,FALSE,FALSE,FALSE
"476","Hydroptilidae sp. RAI # 0001",FALSE,FALSE,FALSE,FALSE,FALSE
"480","Leucotrichia pictipes",TRUE,FALSE,FALSE,FALSE,FALSE
"490","Apatania sorex",TRUE,TRUE,FALSE,FALSE,FALSE
"493","Amiocentrus aspilus",TRUE,FALSE,FALSE,FALSE,FALSE
"499","Micrasema dimicki",TRUE,FALSE,FALSE,FALSE,FALSE
"502","Goeracea genota",FALSE,FALSE,FALSE,FALSE,FALSE
"503","Lepidostomatidae",FALSE,FALSE,FALSE,FALSE,FALSE
"505","Lepidostoma togatum",FALSE,FALSE,FALSE,FALSE,FALSE
"506","Lepidostoma cascadense",FALSE,FALSE,FALSE,FALSE,FALSE
"507","Lepidostoma hoodi",FALSE,FALSE,FALSE,FALSE,FALSE
"508","Lepidostoma Pluviale Group",FALSE,FALSE,FALSE,FALSE,FALSE
"521","Onocosmoecus unicolor",FALSE,FALSE,FALSE,FALSE,FALSE
"527","Chyrandra centralis",FALSE,FALSE,FALSE,FALSE,FALSE
"529","Hydatophylax hesperus",FALSE,FALSE,FALSE,FALSE,FALSE
"545","Rhyacophila angelita",TRUE,FALSE,FALSE,TRUE,FALSE
"547","Rhyacophila betteni",TRUE,FALSE,FALSE,TRUE,FALSE
"549","Rhyacophila brunnea",TRUE,FALSE,TRUE,TRUE,FALSE
"550","Rhyacophila grandis",FALSE,FALSE,FALSE,TRUE,FALSE
"551","Rhyacophila hyalinata",TRUE,FALSE,FALSE,TRUE,FALSE
"552","Rhyacophila inculta",TRUE,FALSE,FALSE,TRUE,FALSE
"555","Rhyacophila pellisa",TRUE,FALSE,FALSE,TRUE,FALSE
"556","Rhyacophila sibirica",TRUE,FALSE,FALSE,TRUE,FALSE
"557","Rhyacophila valuma",TRUE,FALSE,FALSE,TRUE,FALSE
"558","Rhyacophila vuzana",TRUE,FALSE,FALSE,TRUE,FALSE
"561","Rhyacophila Brunnea/Vemna Group",TRUE,FALSE,TRUE,TRUE,FALSE
"563","Rhyacophila Ecosa Group",TRUE,FALSE,FALSE,TRUE,FALSE
"568","Rhyacophila pellisa/valuma",TRUE,FALSE,FALSE,TRUE,FALSE
"571","Rhyacophila Vemna Group",TRUE,FALSE,TRUE,TRUE,FALSE
"574","Helicopsyche borealis",TRUE,FALSE,FALSE,FALSE,FALSE
"576","Orohermes crepusculus",FALSE,FALSE,TRUE,TRUE,FALSE
"582","Leptophlebia",FALSE,FALSE,FALSE,FALSE,FALSE
"584","Paraleptophlebia bicornuta",FALSE,FALSE,FALSE,FALSE,FALSE
"585","Paraleptophlebia debilis",FALSE,FALSE,FALSE,FALSE,FALSE
"586","Paraleptophlebia memorialis",FALSE,FALSE,FALSE,FALSE,FALSE
"587","Paraleptophlebia temporalis",FALSE,FALSE,FALSE,FALSE,FALSE
"588","Paraleptophlebia vaciva",FALSE,FALSE,FALSE,FALSE,FALSE
"594","Caudatella heterocaudata",TRUE,FALSE,FALSE,FALSE,FALSE
"597","Drunella coloradensis",TRUE,FALSE,FALSE,FALSE,FALSE
"599","Drunella grandis",TRUE,TRUE,FALSE,FALSE,FALSE
"600","Drunella spinifera",TRUE,TRUE,FALSE,TRUE,FALSE
"601","Drunella flavilinea/coloradensis",TRUE,FALSE,FALSE,FALSE,FALSE
"605","Ephemerella dorothea infrequens",TRUE,FALSE,FALSE,FALSE,FALSE
"606","Ephemerella excrucians",TRUE,FALSE,FALSE,FALSE,FALSE
"608","Ephemerella inermis/infrequens",TRUE,FALSE,FALSE,FALSE,FALSE
"611","Serratella teresa",TRUE,FALSE,FALSE,FALSE,FALSE
"612","Serratella tibialis",TRUE,FALSE,FALSE,FALSE,FALSE
"613","Timpanoga",FALSE,FALSE,FALSE,FALSE,FALSE
"617","Tricorythodes explicatus",FALSE,FALSE,FALSE,FALSE,FALSE
"618","Tricorythodes minutus",FALSE,FALSE,FALSE,FALSE,FALSE
"625","Baetis bicaudatus",TRUE,FALSE,FALSE,FALSE,FALSE
"626","Baetis flavistriga",TRUE,FALSE,FALSE,FALSE,FALSE
"628","Baetis tricaudatus",TRUE,FALSE,FALSE,FALSE,FALSE
"630","Centroptilum",FALSE,FALSE,FALSE,FALSE,FALSE
"631","Centroptilum conturbatum",FALSE,FALSE,FALSE,FALSE,FALSE
"632","Diphetor",TRUE,FALSE,FALSE,FALSE,FALSE
"634","Fallceon quilleri",FALSE,FALSE,FALSE,FALSE,FALSE
"635","Procloeon",FALSE,FALSE,FALSE,FALSE,FALSE
"636","Pseudocloeon",FALSE,FALSE,FALSE,FALSE,FALSE
"637","Centroptilum/Procloeon",FALSE,FALSE,FALSE,FALSE,FALSE
"641","Ecdyonurus criddlei",TRUE,FALSE,FALSE,FALSE,FALSE
"643","Epeorus albertae",TRUE,TRUE,FALSE,FALSE,FALSE
"645","Epeorus grandis",TRUE,TRUE,FALSE,FALSE,FALSE
"647","Heptagenia",TRUE,FALSE,FALSE,FALSE,FALSE
"649","Nixe",TRUE,FALSE,FALSE,FALSE,FALSE
"652","Stenonema",TRUE,FALSE,FALSE,FALSE,FALSE
"657","Octogomphus specularis",FALSE,FALSE,TRUE,TRUE,FALSE
"659","Sympetrum",FALSE,FALSE,FALSE,TRUE,FALSE
"662","Enallagma",FALSE,FALSE,FALSE,TRUE,FALSE
"664","Hydrozoa",FALSE,FALSE,FALSE,TRUE,FALSE
"672","Margaritifera falcata",FALSE,FALSE,TRUE,FALSE,FALSE
"674","Pyganodon",FALSE,FALSE,TRUE,FALSE,FALSE
"678","Ferrissia rivularis",FALSE,FALSE,FALSE,FALSE,FALSE
"680","Fossaria",FALSE,FALSE,FALSE,FALSE,FALSE
"681","Lymnaea",FALSE,FALSE,FALSE,FALSE,FALSE
"682","Stagnicola",FALSE,FALSE,FALSE,FALSE,FALSE
"684","Physa",FALSE,FALSE,FALSE,FALSE,TRUE
"690","Promenetus",FALSE,FALSE,FALSE,FALSE,TRUE
"693","Fluminicola",FALSE,FALSE,TRUE,FALSE,FALSE
"695","Pristinicola hemphilli",FALSE,FALSE,TRUE,FALSE,FALSE
"699","Nemertea",FALSE,FALSE,FALSE,FALSE,FALSE
"701","Turbellaria",FALSE,FALSE,FALSE,FALSE,FALSE
"702","Planariidae",FALSE,FALSE,FALSE,FALSE,FALSE
"703","Planaria",FALSE,FALSE,FALSE,FALSE,FALSE
"705","Polycelis coronata",FALSE,FALSE,FALSE,FALSE,FALSE
