"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Fine_STE","Fine_STE_rank"
"68","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anisoptera","Suborder"
"69","Mollusca","ZZZ","ZZZ","Bivalvia","Palaeoheterodonta","ZZZ","ZZZ","Unionoida","ZZZ","ZZZ","ZZZ","Unionidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Anodonta","ZZZ","ZZZ","ZZZ","ZZZ","Anodonta","Genus"
"70","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Culicidae","Anophelinae","ZZZ","ZZZ","ZZZ","ZZZ","Anopheles","ZZZ","ZZZ","ZZZ","ZZZ","Anopheles","Genus"
"74","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Limnephiloidea","Apataniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Apataniidae","Family"
"75","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Chironominae","ZZZ","Chironomini","ZZZ","ZZZ","Apedilum","ZZZ","ZZZ","ZZZ","ZZZ","Apedilum","Genus"
"76","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Tanypodinae","ZZZ","Macropelopiini","ZZZ","ZZZ","Apsectrotanypus","ZZZ","ZZZ","ZZZ","ZZZ","Apsectrotanypus","Genus"
"77","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Diptera","Nematocera","Culicomorpha","ZZZ","Chironomidae","Tanypodinae","ZZZ","Macropelopiini","ZZZ","ZZZ","Apsectrotanypus","ZZZ","ZZZ","ZZZ","ZZZ","Apsectrotanypus","Genus"
"78","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Heteroptera","Gerromorpha","Gerroidea","Gerridae","Gerrinae","ZZZ","ZZZ","ZZZ","ZZZ","Aquarius","ZZZ","ZZZ","ZZZ","ZZZ","Aquarius","Genus"
"79","Arthropoda","Chelicerata","ZZZ","Arachnida","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Arachnida","Class"
"80","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Ptilodactylidae","Araeopidiinae","ZZZ","ZZZ","ZZZ","ZZZ","Araeopidius","ZZZ","ZZZ","monachus","ZZZ","Araeopidius monachus","Species"
"81","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Zygoptera","ZZZ","ZZZ","Lestidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Archilestes","ZZZ","ZZZ","ZZZ","ZZZ","Archilestes","Genus"
"82","Annelida","ZZZ","ZZZ","Clitellata","Oligochaeta","ZZZ","ZZZ","Tubificida","ZZZ","ZZZ","ZZZ","Naididae","Naidinae","ZZZ","ZZZ","ZZZ","ZZZ","Arcteonais","ZZZ","ZZZ","ZZZ","ZZZ","Arcteonais","Genus"
"87","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Arrenuridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Arrenuridae","Family"
"88","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Arrenuridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Arrenurus","ZZZ","ZZZ","ZZZ","ZZZ","Arrenurus","Genus"
"89","Arthropoda","Crustacea","ZZZ","Malacostraca","Eumalacostraca","ZZZ","Peracarida","Isopoda","Asellota","ZZZ","Aselloidea","Asellidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Asellidae","Family"
"90","Arthropoda","Crustacea","ZZZ","Malacostraca","Eumalacostraca","ZZZ","Peracarida","Isopoda","Asellota","ZZZ","Aselloidea","Asellidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Asellus","ZZZ","ZZZ","ZZZ","ZZZ","Asellus","Genus"
"91","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","ZZZ","ZZZ","Ephemeroptera","Furcatergalia","ZZZ","ZZZ","Leptohyphidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Asioplax","ZZZ","ZZZ","ZZZ","ZZZ","Asioplax","Genus"
