"","Fine_STE","Medium_STE","Coarse_STE","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"671","Kiefferulus","Chironomini","Chironomidae","Kiefferulus",129522,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Kiefferulus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Chironomini","Chironomini","Chironomidae","Chironomidae","Chironomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","Kincaidiana","Lumbriculidae","Oligochaeta","Kincaidiana",68470,"Annelida","","","Clitellata","Oligochaeta","","","Lumbriculida","","","","Lumbriculidae","","","","","","Kincaidiana","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Lumbriculidae","Kincaidiana","Oligochaeta","Lumbriculidae","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","Kincaidiana","Lumbriculidae","Oligochaeta","Kincaidiana hexatheca",68471,"Annelida","","","Clitellata","Oligochaeta","","","Lumbriculida","","","","Lumbriculidae","","","","","","Kincaidiana","","","hexatheca","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Lumbriculidae","Kincaidiana","Oligochaeta","Lumbriculidae","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","Koenikea","Acari","Acari","Koenikea",83093,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Unionicolidae","","","","","","Koenikea","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","Kogotus","Kogotus","Kogotus","Kogotus",103149,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","","Diploperlini","","","Kogotus","","","","",NA,NA,"Genus","Genus","Genus","Kogotus","Kogotus","Kogotus","Kogotus","Kogotus","Kogotus",NA,NA,NA,"Kogotus","Kogotus","Kogotus","Kogotus","Kogotus","Kogotus"
"676","Kogotus nonus","Kogotus nonus","Kogotus nonus","Kogotus nonus",103150,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","","Diploperlini","","","Kogotus","","","nonus","",NA,NA,"Species","Species","Species","Kogotus nonus","Kogotus nonus","Kogotus nonus","Kogotus","Kogotus","Kogotus",NA,NA,NA,"Kogotus","Kogotus","Kogotus","Kogotus nonus","Kogotus nonus","Kogotus nonus"
"677","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera",-20,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","","Diploperlini","Kogotus/Rickera","","","","","","",NA,NA,"Genus.Group","Genus.Group","Genus.Group","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Perlodidae","Perlodidae","Perlodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"678","Kongsbergia","Acari","Acari","Kongsbergia",83000,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Aturidae","","","","","","Kongsbergia","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","Krendowskiidae","Acari","Acari","Krendowskiidae",83499,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Krendowskiidae","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Family","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","Krenopelopia","Pentaneurini","Chironomidae","Krenopelopia",128170,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Pentaneurini","","","Krenopelopia","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Pentaneurini","Pentaneurini","Chironomidae","Pentaneurini","Pentaneurini",NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","Krenosmittia","Orthocladiinae","Chironomidae","Krenosmittia",128771,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Krenosmittia","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Krenosmittia","Chironomidae","Orthocladiinae","Krenosmittia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis",568552,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Labiobaetis","","","","",NA,NA,"Genus","Genus","Genus","Baetidae","Baetidae","Baetidae","Labiobaetis","Labiobaetis","Labiobaetis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","Labiobaetis sonajuventus","Labiobaetis sonajuventus","Labiobaetis sonajuventus","Labiobaetis sonajuventus",-169,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Labiobaetis","","","sonajuventus","",NA,NA,"Species","Species","Species","Baetidae","Baetidae","Baetidae","Labiobaetis","Labiobaetis","Labiobaetis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","Labrundinia","Pentaneurini","Chironomidae","Labrundinia",128173,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Pentaneurini","","","Labrundinia","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Pentaneurini","Pentaneurini","Chironomidae","Pentaneurini","Pentaneurini",NA,NA,NA,NA,NA,NA,NA,NA,NA
