"","Fine_STE","Medium_STE","Coarse_STE","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"1","Aaptos","Aaptos","Aaptos","Aaptos",48575,"Porifera","","","Demospongiae","","","","Hadromerida","","","","Suberitidae","","","","","","Aaptos","","","","",NA,NA,"Genus","Genus","Genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Ablabesmyia","Pentaneurini","Chironomidae","Ablabesmyia",128079,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Pentaneurini","","","Ablabesmyia","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Pentaneurini","Ablabesmyia","Chironomidae","Pentaneurini","Pentaneurini",NA,NA,"Ablabesmyia",NA,NA,NA,NA,NA,NA
"3","Acamptocladius","Orthocladiinae","Chironomidae","Acamptocladius",128460,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Acamptocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Acar","Acar","Acar","Acar",79375,"Mollusca","","","Bivalvia","Pteriomorphia","","","Arcoida","","","","Arcidae","","","","","","Acar","","","","",NA,NA,"Genus","Genus","Genus","Bivalvia","Bivalvia","Bivalvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Acari","Acari","Acari","Acari",733321,"Arthropoda","Chelicerata","","Arachnida","Acari","","","","","","","","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Subclass","Acari","Acari","Acari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Acentrella","Acentrella","Acentrella","Acentrella",100801,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Acentrella","","","","",NA,NA,"Genus","Genus","Genus","Acentrella","Acentrella","Acentrella",NA,NA,NA,"Acentrella","Acentrella","Acentrella","Acentrella","Acentrella","Acentrella","Acentrella","Acentrella","Acentrella"
"7","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans",568572,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Acentrella","","","insignificans","",NA,NA,"Species","Species","Species","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans",NA,NA,NA,"Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans","Acentrella insignificans"
"8","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida",568574,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Acentrella","","","turbida","",NA,NA,"Species","Species","Species","Acentrella turbida","Acentrella turbida","Acentrella turbida",NA,NA,NA,"Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida","Acentrella turbida"
"9","Acerpenna pygmaea","Acerpenna pygmaea","Acerpenna pygmaea","Acerpenna pygmaea",206620,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Acerpenna","","","pygmaea","",NA,NA,"Species","Species","Species","Baetidae","Baetidae","Baetidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Achaeta","Enchytraeidae","Oligochaeta","Achaeta",68560,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","Achaeta","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Enchytraeidae","Enchytraeidae","Oligochaeta","Enchytraeidae","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Acneus","Acneus","Acneus","Acneus",114082,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Psephenidae","Eubriinae","","","","","Acneus","","","","",NA,NA,"Genus","Genus","Genus","Coleoptera","Coleoptera","Coleoptera","Psephenidae","Psephenidae","Psephenidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Acricotopus","Orthocladiinae","Chironomidae","Acricotopus",128463,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Acricotopus","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Acricotopus","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Aedes","Aedes","Aedes","Aedes",126234,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicidae","Culicinae","","Culicini","","","Aedes","","","","",NA,NA,"Genus","Genus","Genus","Aedes","Aedes","Aedes","Diptera","Diptera","Diptera","Aedes","Aedes","Aedes",NA,NA,NA,NA,NA,NA
"14","Aeshna","Aeshna","Aeshna","Aeshna",101603,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Aeshnidae","","","","","","Aeshna","","","","",NA,NA,"Genus","Genus","Genus","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Aeshna interrupta","Aeshna interrupta","Aeshna interrupta","Aeshna interrupta",185979,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Aeshnidae","","","","","","Aeshna","","","interrupta","",NA,NA,"Species","Species","Species","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Aeshna umbrosa","Aeshna umbrosa","Aeshna umbrosa","Aeshna umbrosa",101605,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Aeshnidae","","","","","","Aeshna","","","umbrosa","",NA,NA,"Species","Species","Species","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae",101596,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Aeshnidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae","Aeshnidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Afghanurus","Afghanurus","Afghanurus","Afghanurus",-243,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","","",NA,NA,"Genus","Genus","Genus","Heptageniidae","Heptageniidae","Heptageniidae","Heptageniidae","Heptageniidae","Heptageniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Afghanurus criddlei","Afghanurus criddlei","Afghanurus criddlei","Afghanurus criddlei",-244,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Afghanurus","","","criddlei","",NA,NA,"Species","Species","Species","Heptageniidae","Heptageniidae","Heptageniidae","Heptageniidae","Heptageniidae","Heptageniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Agabinae","Agabinae","Dytiscidae","Agabinae",728212,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Agabinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Dytiscidae","Dytiscidae","Dytiscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Agabinus","Agabinus","Dytiscidae","Agabinus",112068,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Agabinae","","Agabini","","","Agabinus","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Agabinus","Agabinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Agabus","Agabus","Dytiscidae","Agabus",111966,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Agabinae","","Agabini","","","Agabus","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Agabus","Agabus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Agapetus","Agapetus","Agapetus","Agapetus",117121,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Glossosomatoidea","Glossosomatidae","Agapetinae","","","","","Agapetus","","","","",NA,NA,"Genus","Genus","Genus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus","Agapetus"
"24","Agathon","Agathon","Agathon","Agathon",121230,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Blephariceromorpha","","Blephariceridae","Blepharicerinae","","Blepharicerini","","","Agathon","","","","",NA,NA,"Genus","Genus","Genus","Agathon","Agathon","Agathon","Agathon","Agathon","Agathon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Agraylea","Agraylea","Agraylea","Agraylea",115635,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Agraylea","","","","",NA,NA,"Genus","Genus","Genus","Agraylea","Agraylea","Agraylea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","alafimbriatus","Mystacides","Mystacides","Mystacides alafimbriatus",116603,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Leptoceroidea","Leptoceridae","Leptocerinae","","Mystacidini","","","Mystacides","","","alafimbriatus","",NA,NA,"Genus","Genus","Species","Mystacides","Mystacides","Mystacides","Mystacides","Mystacides","Mystacides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Albia","Acari","Acari","Albia",83435,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Axonopsidae","","","","","","Albia","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","albiplumus","Orthocladiinae","Chironomidae","Cardiocladius albiplumus",128512,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Cardiocladius","","","albiplumus","",NA,NA,"Family","Subfamily","Species","Chironomidae","Orthocladiinae","Cardiocladius","Chironomidae","Orthocladiinae","Cardiocladius",NA,NA,"Cardiocladius",NA,NA,NA,NA,NA,NA
"29","algens","Macropelopiini","Chironomidae","Bilyjomyia algens",-159,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Macropelopiini","","","Bilyjomyia","","","algens","",NA,NA,"Family","Tribe","Species","Chironomidae","Macropelopiini","Macropelopiini","Chironomidae","Tanypodinae","Tanypodinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Allocladius","Orthocladiinae","Chironomidae","Allocladius",-183,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Allocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Allocosmoecus","Allocosmoecus","Allocosmoecus","Allocosmoecus",115969,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","Allocosmoecus","","","","",NA,NA,"Genus","Genus","Genus","Allocosmoecus","Allocosmoecus","Allocosmoecus","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Allognosta","Allognosta","Allognosta","Allognosta",130160,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Stratiomyomorpha","","Stratiomyidae","Beridinae","","","","","Allognosta","","","","",NA,NA,"Genus","Genus","Genus","Allognosta","Allognosta","Allognosta","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Allomyia","Allomyia","Allomyia","Allomyia",116438,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Apataniidae","","","","","","Allomyia","","","","",NA,NA,"Genus","Genus","Genus","Trichoptera","Trichoptera","Trichoptera","Allomyia","Allomyia","Allomyia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Alloperla","Alloperla","Alloperla","Alloperla",103203,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae","","","","","Alloperla","","","","",NA,NA,"Genus","Genus","Genus","Chloroperlidae","Chloroperlidae","Chloroperlidae","Alloperla","Alloperla","Alloperla","Chloroperlinae","Chloroperlinae","Chloroperlinae",NA,NA,NA,NA,NA,NA
"35","almota","Parapsyche","Parapsyche","Parapsyche almota",115563,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Arctopsychinae","","","","","Parapsyche","","","almota","",NA,NA,"Genus","Genus","Species","Parapsyche","Parapsyche","Parapsyche","Parapsyche","Parapsyche","Parapsyche",NA,NA,NA,"Parapsyche","Parapsyche","Parapsyche","Parapsyche","Parapsyche","Parapsyche"
"36","Alotanypus","Coelotanypodini","Chironomidae","Alotanypus",206646,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Coelotanypodini","","","Alotanypus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Tanypodinae","Tanypodinae","Chironomidae","Tanypodinae","Tanypodinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Altmanella","Lumbriculidae","Oligochaeta","Altmanella",-185,"Annelida","","","Clitellata","Oligochaeta","","","Lumbriculida","","","","Lumbriculidae","","","","","","Altmanella","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Lumbriculidae","Lumbriculidae","Oligochaeta","Lumbriculidae","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Ameletus","Ameletus","Ameletus","Ameletus",100996,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Ameletidae","","","","","","Ameletus","","","","",NA,NA,"Genus","Genus","Genus","Ameletus","Ameletus","Ameletus","Ameletus","Ameletus","Ameletus","Ameletus","Ameletus","Ameletus",NA,NA,NA,"Ameletus","Ameletus","Ameletus"
"39","americanus","Brachycentrus","Brachycentrus","Brachycentrus americanus",116912,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Brachycentrus","","Oligoplectrodes","americanus","",NA,NA,"Genus","Genus","Species","Brachycentrus","Brachycentrus","Brachycentrus","Brachycentrus","Brachycentrus","Brachycentrus",NA,NA,NA,NA,NA,NA,"Brachycentrus","Brachycentrus","Brachycentrus"
"40","Americorophium","Americorophium","Americorophium","Americorophium",656484,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Corophiidae","","","","","","Americorophium","","","","",NA,NA,"Genus","Genus","Genus","Americorophium","Americorophium","Americorophium","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Americorophium spinicorne","Americorophium spinicorne","Americorophium spinicorne","Americorophium spinicorne",656746,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Corophiidae","","","","","","Americorophium","","","spinicorne","",NA,NA,"Species","Species","Species","Americorophium","Americorophium","Americorophium","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Ametor","Ametor","Ametor","Ametor",112890,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Sperchopsini","","","Ametor","","","","",NA,NA,"Genus","Genus","Genus","Ametor","Ametor","Ametor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Ametor scabrosus","Ametor scabrosus","Ametor scabrosus","Ametor scabrosus",112892,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Sperchopsini","","","Ametor","","","scabrosus","",NA,NA,"Species","Species","Species","Ametor","Ametor","Ametor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus",116933,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Amiocentrus","","","","",NA,NA,"Genus","Genus","Genus","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus","Amiocentrus",NA,NA,NA,NA,NA,NA,"Amiocentrus","Amiocentrus","Amiocentrus"
"45","Amphiagrion","Amphiagrion","Amphiagrion","Amphiagrion",102093,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Zygoptera","","","Coenagrionidae","","","","","","Amphiagrion","","","","",NA,NA,"Genus","Genus","Genus","Coenagrionidae","Coenagrionidae","Coenagrionidae","Amphiagrion","Amphiagrion","Amphiagrion",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Amphinemura","Amphinemura","Amphinemura","Amphinemura",102540,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Euholognatha","","","Nemouridae","Amphinemurinae","","","","","Amphinemura","","","","",NA,NA,"Genus","Genus","Genus","Amphinemura","Amphinemura","Amphinemura","Amphinemura","Amphinemura","Amphinemura","Amphinemura","Amphinemura","Amphinemura",NA,NA,NA,"Amphinemura","Amphinemura","Amphinemura"
"47","Amphipoda","Amphipoda","Amphipoda","Amphipoda",93294,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","","","","","","","","","","","","","","",NA,NA,"Order","Order","Order","Amphipoda","Amphipoda","Amphipoda","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Amphizoa","Amphizoa","Amphizoa","Amphizoa",111953,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Amphizoidae","","","","","","Amphizoa","","","","",NA,NA,"Genus","Genus","Genus","Amphizoa","Amphizoa","Amphizoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Ampumixis","Ampumixis","Ampumixis","Ampumixis",114196,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Ampumixis","","","","",NA,NA,"Genus","Genus","Genus","Ampumixis","Ampumixis","Ampumixis","Ampumixis","Ampumixis","Ampumixis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Ampumixis dispar","Ampumixis dispar","Ampumixis dispar","Ampumixis dispar",114197,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Ampumixis","","","dispar","",NA,NA,"Species","Species","Species","Ampumixis dispar","Ampumixis dispar","Ampumixis dispar","Ampumixis dispar","Ampumixis dispar","Ampumixis dispar",NA,NA,NA,"Ampumixis dispar","Ampumixis dispar","Ampumixis dispar","Ampumixis dispar","Ampumixis dispar","Ampumixis dispar"
"51","Anacaena","Anacaena","Anacaena","Anacaena",112878,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Anacaenini","","","Anacaena","","","","",NA,NA,"Genus","Genus","Genus","Anacaena","Anacaena","Anacaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Anafroptilum","Anafroptilum","Anafroptilum","Anafroptilum",-179,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Anafroptilum","","","","",NA,NA,"Genus","Genus","Genus","Baetidae","Baetidae","Baetidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Anagapetus","Anagapetus","Anagapetus","Anagapetus",117154,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Glossosomatoidea","Glossosomatidae","Glossosomatinae","","Anagapetini","","","Anagapetus","","","","",NA,NA,"Genus","Genus","Genus","Anagapetus","Anagapetus","Anagapetus","Anagapetus","Anagapetus","Anagapetus",NA,NA,NA,"Anagapetus","Anagapetus","Anagapetus","Anagapetus","Anagapetus","Anagapetus"
"54","Anax","Anax","Anax","Anax",101597,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Aeshnidae","","","","","","Anax","","","","",NA,NA,"Genus","Genus","Genus","Aeshnidae","Aeshnidae","Aeshnidae","Anax","Anax","Anax",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Ancylidae","Ancylidae","Ancylidae","Ancylidae",76568,"Mollusca","","","Gastropoda","","","","Basommatophora","","","","Ancylidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Ancylidae","Ancylidae","Ancylidae","Ancylidae","Ancylidae","Ancylidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","angelita","Rhyacophila","Rhyacophila","Rhyacophila angelita",115099,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Rhyacophiloidea","Rhyacophilidae","","","","","","Rhyacophila","","","angelita","",NA,NA,"Genus","Genus","Species","Rhyacophila","Rhyacophila","Rhyacophila","Rhyacophila","Rhyacophila","Rhyacophila",NA,NA,NA,NA,NA,NA,"Rhyacophila","Rhyacophila","Rhyacophila"
"57","Anisogammaridae","Anisogammaridae","Anisogammaridae","Anisogammaridae",203113,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Anisogammaridae","","","","","","","","","","",NA,NA,"Family","Family","Family","Anisogammaridae","Anisogammaridae","Anisogammaridae","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Anisoptera","Anisoptera","Anisoptera","Anisoptera",101594,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","","","","","","","","","","","",NA,NA,"Suborder","Suborder","Suborder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Anodonta","Anodonta","Anodonta","Anodonta",79930,"Mollusca","","","Bivalvia","Palaeoheterodonta","","","Unionoida","","","","Unionidae","","","","","","Anodonta","","","","",NA,NA,"Genus","Genus","Genus","Unionidae","Unionidae","Unionidae","Anodonta","Anodonta","Anodonta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Anopheles","Anopheles","Anopheles","Anopheles",125956,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicidae","Anophelinae","","","","","Anopheles","","","","",NA,NA,"Genus","Genus","Genus","Anopheles","Anopheles","Anopheles","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Anseriglossa","Glossosoma","Glossosoma","Glossosoma (Anseriglossa)",598802,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Glossosomatoidea","Glossosomatidae","Glossosomatinae","","Glossosomatini","","","Glossosoma","","Anseriglossa","","",NA,NA,"Genus","Genus","Subgenus","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma","Glossosoma"
"62","Antocha","Antocha","Antocha","Antocha",119656,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Limoniini","","","Antocha","","","","",NA,NA,"Genus","Genus","Genus","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha"
"63","Antocha monticola","Antocha monticola","Antocha monticola","Antocha monticola",119660,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Limoniini","","","Antocha","","","monticola","",NA,NA,"Species","Species","Species","Antocha monticola","Antocha monticola","Antocha monticola","Antocha monticola","Antocha monticola","Antocha monticola","Antocha","Antocha","Antocha","Antocha monticola","Antocha monticola","Antocha monticola","Antocha monticola","Antocha monticola","Antocha monticola"
"64","Apatania","Apatania","Apatania","Apatania",115935,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Apataniidae","Apataniinae","","Apataniini","","","Apatania","","","","",NA,NA,"Genus","Genus","Genus","Apatania","Apatania","Apatania","Apatania","Apatania","Apatania",NA,NA,NA,"Apatania","Apatania","Apatania","Apatania","Apatania","Apatania"
"65","Apataniidae","Apataniidae","Apataniidae","Apataniidae",598182,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Apataniidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Trichoptera","Trichoptera","Trichoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
