"","Fine_STE","Medium_STE","Coarse_STE","OTU_MetricCalc","Taxon","Taxon.Serial.Number","Mapped.Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"384","Empididae Genus A","Empididae Genus A","Empididae Genus A","Empididae Genus A","Empididae Genus A",-131,"-131","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","","","","","","Empididae Genus A","","","","","Empididae",FALSE,"Genus","Genus","Genus","Empididae Genus A","Empididae Genus A","Empididae Genus A","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Enchytraeidae","Enchytraeidae","Oligochaeta","Enchytraeidae","Enchytraeidae",68510,"68510","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","","","","","",NA,NA,"Subclass","Family","Family","Oligochaeta","Enchytraeidae","Enchytraeidae","Oligochaeta","Enchytraeidae","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Enchytraeidae","Enchytraeidae","Oligochaeta","Enchytraeidae","Randidrilus",974616,"68510","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","","","","","",NA,NA,"Subclass","Family","Family","Oligochaeta","Enchytraeidae","Enchytraeidae","Oligochaeta","Enchytraeidae","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","Enchytraeus","Enchytraeidae","Oligochaeta","Enchytraeus","Enchytraeus",68531,"68531","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Enchytraeidae","","","","","","Enchytraeus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Enchytraeidae","Enchytraeus","Oligochaeta","Enchytraeidae","Enchytraeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Endochironomus","Chironomini","Chironomidae","Endochironomus","Endochironomus",129470,"129470","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Endochironomus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Chironomini","Chironomini","Chironomidae","Chironomidae","Endochironomus",NA,NA,"Endochironomus",NA,NA,NA,NA,NA,NA
"389","Enochrus","Enochrus","Enochrus","Enochrus","Enochrus",112973,"112973","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Hydrophilini","","","Enochrus","","","","",NA,NA,"Genus","Genus","Genus","Hydrophilidae","Hydrophilidae","Hydrophilidae","Enochrus","Enochrus","Enochrus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Eobrachycentrus","Eobrachycentrus","Eobrachycentrus","Eobrachycentrus","Eobrachycentrus",116971,"116971","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Eobrachycentrus","","","","",NA,NA,"Genus","Genus","Genus","Eobrachycentrus","Eobrachycentrus","Eobrachycentrus","Brachycentridae","Brachycentridae","Brachycentridae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Eocosmoecus","Eocosmoecus","Eocosmoecus","Eocosmoecus","Eocosmoecus",568777,"568777","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Dicosmoecinae","","","","","Eocosmoecus","","","","",NA,NA,"Genus","Genus","Genus","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae","Dicosmoecinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus",100626,"100626","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","","","","",NA,NA,"Genus","Genus","Genus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus"
"393","Epeorus Albertae Group","Epeorus Albertae Group","Epeorus Albertae Group","Epeorus Albertae Group","Epeorus albertae",100629,"-197","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","Epeorus Albertae Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus"
"394","Epeorus Albertae Group","Epeorus Albertae Group","Epeorus Albertae Group","Epeorus Albertae Group","Epeorus Albertae Group",-197,"-197","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","Epeorus Albertae Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus"
"395","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus",100632,"100632","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","","","deceptivus","",NA,NA,"Species","Species","Species","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus","Epeorus","Epeorus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus","Epeorus deceptivus"
"396","Epeorus Grandis Group","Epeorus Grandis Group","Epeorus Grandis Group","Epeorus Grandis Group","Epeorus Grandis Group",-266,"-266","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","Epeorus Grandis Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus"
"397","Epeorus Grandis Group","Epeorus Grandis Group","Epeorus Grandis Group","Epeorus Grandis Group","Epeorus grandis",100635,"-266","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","Epeorus Grandis Group","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus","Epeorus"
"398","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus",100637,"100637","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Epeorus","","","longimanus","",NA,NA,"Species","Species","Species","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus","Epeorus longimanus"
"399","Ephemera","Ephemera","Ephemera","Ephemera","Ephemera",101526,"101526","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Scapphodonta","Ephemeroidea","Ephemeridae","","","","","","Ephemera","","","","",NA,NA,"Genus","Genus","Genus","Ephemeroptera","Ephemeroptera","Ephemeroptera","Ephemera","Ephemera","Ephemera",NA,NA,NA,NA,NA,NA,NA,NA,NA
